ALLENDALE NORTH,ALLENDALE NORTH SA 5373
BAGOT WELL,BAGOT WELL SA 5373
BETHEL,BETHEL SA 5373
BUCHFELDE,BUCHFELDE SA 5118
DAVEYSTON,DAVEYSTON SA 5355
EBENEZER,EBENEZER SA 5355
FORDS,FORDS SA 5373
FREELING,FREELING SA 5372
GAWLER BELT,GAWLER BELT SA 5118
GAWLER RIVER,GAWLER RIVER SA 5118
GOMERSAL,GOMERSAL SA 5352
GREENOCK,GREENOCK SA 5360
HAMILTON,HAMILTON SA 5373
HAMLEY BRIDGE,HAMLEY BRIDGE SA 5401
HANSBOROUGH,HANSBOROUGH SA 5374
HEWETT,HEWETT SA 5118
KANGAROO FLAT,KANGAROO FLAT SA 5118
KAPUNDA,KAPUNDA SA 5373
KINGSFORD,KINGSFORD SA 5118
KOONUNGA,KOONUNGA SA 5373
KOONUNGA HILL,KOONUNGA HILL SA 5373
LINWOOD,LINWOOD SA 5410
LYNDOCH,LYNDOCH SA 5351
MAGDALA,MAGDALA SA 5400
MARANANGA,MARANANGA SA 5355
MOPPA,MOPPA SA 5355
MORN HILL,MORN HILL SA 5371
NAIN,NAIN SA 5360
NEUKIRCH,NEUKIRCH SA 5355
NURIOOTPA,NURIOOTPA SA 5355
PINKERTON PLA,PINKERTON PLAINS SA 5400
PINKERTON PLAINS,PINKERTON PLAINS SA 5400
REEVES PLAINS,REEVES PLAINS SA 5502
REID,REID SA 5118
ROSEDALE,ROSEDALE SA 5350
ROSEWORTHY,ROSEWORTHY SA 5371
ROWLAND FLAT,ROWLAND FLAT SA 5352
SEPPELTSFIELD,SEPPELTSFIELD SA 5355
SHEA-OAK LOG,SHEA-OAK LOG SA 5371
ST JOHNS,ST JOHNS SA 5373
ST KITTS,ST KITTS SA 5356
STOCKWELL,STOCKWELL SA 5355
STONE WELL,STONE WELL SA 5352
TANUNDA,TANUNDA SA 5352
TEMPLERS,TEMPLERS SA 5371
TRURO,TRURO SA 5356
WARD BELT,WARD BELT SA 5118
WASLEYS,WASLEYS SA 5400
WOOLSHEDS,WOOLSHEDS SA 5400
